,Date,RUA Close,Risk-Free TNX,RUA_Returns,Dates,Annual_Return_RUA,Numerator,Std_RUA,Ratio,Ratio_smoothed,
837,1/2/91,178.979996,7.97,-0.010394808,1/2/91,0.094524246,0.014824246,2.256054048,0.006570874,0.008546568,-0.001975694
838,1/3/91,176.639999,7.93,-0.01307407,1/3/91,0.07936204,6.20E-05,2.234674099,2.78E-05,0.008774928,-0.008747166
839,1/4/91,176.259995,8.02,-0.002151291,1/4/91,0.074636702,-0.005563298,2.216556192,-0.002509884,0.009003288,-0.011513172
840,1/7/91,173.199997,8.13,-0.017360706,1/7/91,0.085292655,0.003992655,2.154587144,0.001853095,0.009231648,-0.007378553
841,1/8/91,172.779999,8.16,-0.002424931,1/8/91,0.084373954,0.002773954,2.154292752,0.00128764,0.009460008,-0.008172368
842,1/9/91,171.169998,8.25,-0.009318214,1/9/91,0.081168995,-0.001331005,2.153921107,-0.000617945,0.009688368,-0.010306313
843,1/10/91,172.759995,8.16,0.009288994,1/10/91,0.080758952,-0.000841048,2.127007733,-0.000395413,0.009916728,-0.010312141
844,1/11/91,173.130005,8.2,0.002141757,1/11/91,0.084379334,0.002379334,2.097914633,0.001134142,0.010145087,-0.009010945
845,1/14/91,171.389999,8.23,-0.010050286,1/14/91,0.072643011,-0.009656989,2.020824397,-0.004778737,0.010373447,-0.015152184
846,1/15/91,171.990005,8.22,0.003500823,1/15/91,0.073711038,-0.008488962,2.020397433,-0.00420163,0.010601806,-0.014803435
847,1/16/91,173.619995,8.24,0.009477237,1/16/91,0.076760514,-0.005639486,2.020018844,-0.002791799,0.010830164,-0.013621963
848,1/17/91,179.770004,8.05,0.035422239,1/17/91,0.088310223,0.007810223,1.99921778,0.003906639,0.011058522,-0.007151883
849,1/18/91,181.630005,8.03,0.010346559,1/18/91,0.094182587,0.013882587,1.976909402,0.007022369,0.011286879,-0.00426451
850,1/21/91,181.309998,8.03,-0.001761862,1/21/91,0.097164283,0.016864283,1.896189647,0.008893775,0.011515235,-0.002621461
851,1/22/91,180.100006,8.07,-0.006673609,1/22/91,0.094817432,0.014117432,1.896267853,0.007444851,0.01174359,-0.004298739
852,1/23/91,181.210007,8.04,0.006163248,1/23/91,0.096738803,0.016338803,1.896390575,0.008615737,0.011971944,-0.003356207
853,1/24/91,183.800003,8,0.014292787,1/24/91,0.094876824,0.014876824,1.877181686,0.007925085,0.012200297,-0.004275212
854,1/25/91,184.610001,8.06,0.004406953,1/25/91,0.099076429,0.018476429,1.856230875,0.009953734,0.012428648,-0.002474913
855,1/28/91,184.789993,8.06,0.000974985,1/28/91,0.090851684,0.010251684,1.802809087,0.005686506,0.012656996,-0.006970491
856,1/29/91,184.899994,8.05,0.000595276,1/29/91,0.090929729,0.010429729,1.802850582,0.005785132,0.012885343,-0.007100211
857,1/30/91,187.75,8.05,0.01541377,1/30/91,0.095927542,0.015427542,1.802997144,0.008556609,0.013113688,-0.004557079
858,1/31/91,189.479996,8.03,0.00921436,1/31/91,0.100342106,0.020042106,1.787842544,0.011210219,0.01334203,-0.002131811
859,2/1/91,189.380005,7.91,-0.000527713,2/1/91,0.099544142,0.020444142,1.773278009,0.011529011,0.013570368,-0.002041357
860,2/4/91,192.619995,7.88,0.017108406,2/4/91,0.110316919,0.031516919,1.722651185,0.01829559,0.013798704,0.004496886
861,2/5/91,194.289993,7.85,0.00866991,2/5/91,0.113053727,0.034553727,1.72329924,0.020050915,0.014027036,0.00602388
862,2/6/91,197.720001,7.79,0.017654064,2/6/91,0.118766205,0.040866205,1.724109475,0.02370279,0.014255363,0.009447427
863,2/7/91,196.789993,7.82,-0.004703662,2/7/91,0.119446932,0.041246932,1.70628262,0.024173564,0.014483686,0.009689878
864,2/8/91,198.139999,7.77,0.006860135,2/8/91,0.119020106,0.041320106,1.69028762,0.024445606,0.014712004,0.009733603
865,2/11/91,202.929993,7.78,0.024174796,2/11/91,0.119691774,0.041891774,1.652290726,0.025353755,0.014940316,0.010413439
866,2/12/91,201.529999,7.78,-0.006898901,2/12/91,0.117240303,0.039440303,1.653097187,0.02385843,0.015168622,0.008689808
867,2/13/91,203.369995,7.78,0.009130135,2/13/91,0.120117185,0.042317185,1.653976111,0.025585125,0.015396921,0.010188203
868,2/14/91,201.029999,7.8,-0.011506102,2/14/91,0.116143955,0.038143955,1.654731998,0.02305144,0.015625213,0.007426226
869,2/15/91,203.520004,7.78,0.012386236,2/15/91,0.117928599,0.040128599,1.64453016,0.024401254,0.015853498,0.008547757
870,2/19/91,203.720001,7.8,0.00098269,2/19/91,0.116213031,0.038213031,1.612972976,0.023691055,0.016081774,0.007609281
871,2/20/91,201.5,7.84,-0.010897315,2/20/91,0.112441837,0.034041837,1.613628396,0.021096454,0.016310041,0.004786413
872,2/21/91,201.490005,7.88,-4.96E-05,2/21/91,0.108063834,0.029263834,1.606506733,0.018215818,0.016538299,0.001677519
873,2/22/91,201.990005,7.91,0.002481513,2/22/91,0.109131832,0.030031832,1.599430571,0.018776577,0.016766546,0.002010031
874,2/25/91,202.789993,7.91,0.003960533,2/25/91,0.112424824,0.033324824,1.575922706,0.02114623,0.016994784,0.004151447
875,2/26/91,200.490005,7.96,-0.011341723,2/26/91,0.108505907,0.028905907,1.576439636,0.018336197,0.01722301,0.001113187
876,2/27/91,202.979996,7.98,0.012419527,2/27/91,0.112486427,0.032686427,1.577048942,0.020726324,0.017451224,0.0032751
877,2/28/91,202.940002,8.02,-0.000197034,2/28/91,0.10643916,0.02623916,1.571742767,0.016694309,0.017679425,-0.000985116
878,3/1/91,204.740005,8.12,0.008869631,3/1/91,0.109822518,0.028622518,1.56641422,0.018272637,0.017907614,0.000365023
879,3/4/91,204.539993,8.12,-0.000976907,3/4/91,0.10861959,0.02741959,1.551135563,0.017677107,0.018135788,-0.000458681
880,3/5/91,208.529999,8.08,0.019507217,3/5/91,0.114961541,0.034161541,1.551768178,0.022014591,0.018363948,0.003650643
881,3/6/91,208.289993,8.11,-0.001150942,3/6/91,0.114427946,0.033327946,1.55237247,0.021469039,0.018592091,0.002876948
882,3/7/91,208.210007,8.07,-0.000384013,3/7/91,0.114059793,0.033359793,1.547786521,0.021553226,0.018820218,0.002733008
883,3/8/91,207.710007,8.13,-0.002401422,3/8/91,0.110901399,0.029601399,1.543862647,0.019173597,0.019048327,0.00012527
884,3/11/91,206.570007,8.06,-0.005488421,3/11/91,0.114251684,0.033651684,1.528255741,0.022019668,0.019276416,0.002743252
885,3/12/91,204.800003,8.09,-0.008568543,3/12/91,0.111252311,0.030352311,1.528765136,0.019854136,0.019504486,0.000349651
886,3/13/91,207.149994,8.02,0.011474565,3/13/91,0.114915471,0.034715471,1.529382759,0.022699008,0.019732533,0.002966474
887,3/14/91,206.789993,8.02,-0.001737876,3/14/91,0.112862357,0.032662357,1.524712473,0.021421978,0.019960557,0.001461421
888,3/15/91,206.610001,8.1,-0.00087041,3/15/91,0.112726889,0.031726889,1.520012848,0.020872777,0.020188557,0.000684219
889,3/18/91,205.949997,8.15,-0.003194444,3/18/91,0.106219912,0.024719912,1.508990658,0.016381753,0.02041653,-0.004034778
890,3/19/91,203.199997,8.25,-0.013352756,3/19/91,0.101640605,0.019140605,1.50920242,0.012682597,0.020644476,-0.007961879
891,3/20/91,203.910004,8.2,0.003494129,3/20/91,0.102666798,0.020666798,1.509445746,0.013691647,0.020872391,-0.007180744
892,3/21/91,203.399994,8.16,-0.002501152,3/21/91,0.10448956,0.02288956,1.505515156,0.015203806,0.021100272,-0.005896466
893,3/22/91,203.740005,8.13,0.001671637,3/22/91,0.104740148,0.023440148,1.501721735,0.015608849,0.021328115,-0.005719266
894,3/25/91,205.149994,8.13,0.006920531,3/25/91,0.118271871,0.036971871,1.485504084,0.024888435,0.021555913,0.003332522
895,3/26/91,208.639999,8.13,0.017011967,3/26/91,0.123771533,0.042471533,1.486293416,0.02857547,0.021783656,0.006791814
896,3/27/91,208.550003,8.08,-0.000431346,3/27/91,0.123465248,0.042665248,1.487081031,0.028690601,0.022011328,0.006679272
897,3/28/91,208.529999,8.05,-9.59E-05,3/28/91,0.12469103,0.04419103,1.480206203,0.029854645,0.022238909,0.007615736
898,4/1/91,206.600006,8.07,-0.00925523,4/1/91,0.120364651,0.039664651,1.459562629,0.02717571,0.022466365,0.004709345
899,4/2/91,210.850006,8.03,0.020571151,4/2/91,0.127044817,0.046744817,1.460463652,0.032006833,0.022693646,0.009313187
900,4/3/91,210.910004,8.05,0.000284553,4/3/91,0.126971908,0.046471908,1.461348938,0.031800693,0.022920656,0.008880037
901,4/4/91,211.350006,8,0.002086207,4/4/91,0.131097581,0.051097581,1.454154909,0.035139022,0.023147209,0.011991813
902,4/5/91,209.25,7.99,-0.009936153,4/5/91,0.125327328,0.045427328,1.447669552,0.031379625,0.02337292,0.008006705
903,4/8/91,210.669998,7.98,0.006786131,4/8/91,0.115517769,0.035717769,1.434928683,0.024891668,0.023597367,0.001294302
904,4/9/91,208.220001,8.03,-0.011629549,4/9/91,0.111499083,0.031199083,1.435383572,0.021735711,0.023820576,-0.002084865
905,4/10/91,207.889999,8.1,-0.001584872,4/10/91,0.110825978,0.029825978,1.435798797,0.02077309,0.024042665,-0.003269575
906,4/11/91,210.320007,8.09,0.011688912,4/11/91,0.113730881,0.032830881,1.432870765,0.02291266,0.024263604,-0.001350944
907,4/12/91,211.660004,7.98,0.006371229,4/12/91,0.114440588,0.034640588,1.430338161,0.02421846,0.024483054,-0.000264594
908,4/15/91,212,7.95,0.001606331,4/15/91,0.128482064,0.048982064,1.415434323,0.034605678,0.024699949,0.009905729
909,4/16/91,215.309998,7.97,0.015613198,4/16/91,0.13350323,0.05380323,1.416498044,0.037983272,0.024877918,0.013105354
910,4/17/91,216.990005,7.95,0.007802736,4/17/91,0.135917968,0.056417968,1.417633433,0.03979729,0.025053038,0.014744251
911,4/18/91,215.910004,8.02,-0.004977192,4/18/91,0.134781213,0.054581213,1.412084178,0.038652946,0.025227388,0.013425558
