DATE,CSUSHPISA
2006-06-01,183.513
2006-07-01,183.076
2006-08-01,182.604
2006-09-01,182.808
2006-10-01,183.207
2006-11-01,183.615
2006-12-01,184.143
2007-01-01,184.52
2007-02-01,184.6
2007-03-01,184.155
2007-04-01,183.016
2007-05-01,181.61
2007-06-01,180.263
2007-07-01,179.12099999999998
2007-08-01,178.127
2007-09-01,177.56799999999998
2007-10-01,176.63400000000001
2007-11-01,175.15599999999998
2007-12-01,174.34799999999998
2008-01-01,173.137
2008-02-01,171.544
2008-03-01,170.058
2008-04-01,168.343
2008-05-01,166.666
2008-06-01,165.028
2008-07-01,163.58100000000002
2008-08-01,162.004
2008-09-01,160.32
2008-10-01,158.334
2008-11-01,156.14600000000002
2008-12-01,153.624
2009-01-01,151.515
2009-02-01,150.02200000000002
2009-03-01,148.66899999999998
2009-04-01,147.958
2009-05-01,147.703
2009-06-01,148.097
2009-07-01,148.416
2009-08-01,148.282
2009-09-01,148.028
2009-10-01,147.85399999999998
2009-11-01,148.14
2009-12-01,147.937
2010-01-01,147.394
2010-02-01,145.631
2010-03-01,145.858
2010-04-01,146.39700000000002
2010-05-01,146.385
2010-06-01,145.711
2010-07-01,144.97899999999998
2010-08-01,143.901
2010-09-01,143.00799999999998
2010-10-01,142.52700000000002
2010-11-01,142.175
2010-12-01,142.064
2011-01-01,141.53
2011-02-01,140.358
2011-03-01,139.988
2011-04-01,140.006
2011-05-01,139.89600000000002
2011-06-01,139.85
2011-07-01,139.72
2011-08-01,139.299
2011-09-01,138.66
2011-10-01,137.944
2011-11-01,137.144
2011-12-01,136.666
2012-01-01,136.605
2012-02-01,136.534
2012-03-01,137.914
2012-04-01,139.167
2012-05-01,140.165
2012-06-01,141.034
2012-07-01,141.667
2012-08-01,142.282
2012-09-01,142.916
2012-10-01,143.611
2012-11-01,144.597
2012-12-01,145.512
2013-01-01,146.835
2013-02-01,147.783
2013-03-01,149.969
2013-04-01,151.533
2013-05-01,152.86700000000002
2013-06-01,154.202
2013-07-01,155.59799999999998
2013-08-01,156.986
2013-09-01,158.247
2013-10-01,159.25799999999998
2013-11-01,160.083
2013-12-01,161.007
2014-01-01,161.96
2014-02-01,162.57
2014-03-01,163.138
2014-04-01,163.442
2014-05-01,163.696
2014-06-01,164.046
2014-07-01,164.528
2014-08-01,165.22400000000002
2014-09-01,165.924
2014-10-01,166.672
2014-11-01,167.37400000000002
2014-12-01,168.09900000000002
2015-01-01,168.708
2015-02-01,169.22099999999998
2015-03-01,169.894
2015-04-01,170.378
2015-05-01,170.93599999999998
2015-06-01,171.435
2015-07-01,172.024
2015-08-01,172.956
2015-09-01,173.87099999999998
2015-10-01,174.861
2015-11-01,175.832
2015-12-01,176.648
2016-01-01,177.386
2016-02-01,177.78099999999998
2016-03-01,178.31599999999997
2016-04-01,178.905
2016-05-01,179.52599999999998
2016-06-01,180.045
2016-07-01,180.66299999999998
2016-08-01,181.889
2016-09-01,182.9
2016-10-01,183.87099999999998
2016-11-01,184.91
2016-12-01,185.89
2017-01-01,187.0
2017-02-01,187.563
2017-03-01,188.329
2017-04-01,189.054
2017-05-01,189.84900000000002
2017-06-01,190.51
2017-07-01,191.215
2017-08-01,192.727
2017-09-01,193.87400000000002
2017-10-01,194.979
2017-11-01,196.14
2017-12-01,197.36700000000002
2018-01-01,198.563
2018-02-01,199.588
2018-03-01,200.554
2018-04-01,201.282
2018-05-01,201.9
2018-06-01,202.37900000000002
2018-07-01,202.697
2018-08-01,203.812
2018-09-01,204.521
2018-10-01,205.352
2018-11-01,205.90900000000002
2018-12-01,206.342
2019-01-01,206.894
2019-02-01,207.533
