DATE,CPIAUCSL
6/1/09,214.79
7/1/09,214.726
8/1/09,215.445
9/1/09,215.861
10/1/09,216.509
11/1/09,217.234
12/1/09,217.347
1/1/10,217.488
2/1/10,217.281
3/1/10,217.353
4/1/10,217.403
5/1/10,217.29
6/1/10,217.199
7/1/10,217.605
8/1/10,217.923
9/1/10,218.275
10/1/10,219.035
11/1/10,219.59
12/1/10,220.472
1/1/11,221.187
2/1/11,221.898
3/1/11,223.046
4/1/11,224.093
5/1/11,224.806
6/1/11,224.806
7/1/11,225.395
8/1/11,226.106
9/1/11,226.597
10/1/11,226.75
11/1/11,227.169
12/1/11,227.223
1/1/12,227.842
2/1/12,228.329
3/1/12,228.807
4/1/12,229.187
5/1/12,228.713
6/1/12,228.524
7/1/12,228.59
8/1/12,229.918
9/1/12,231.015
10/1/12,231.638
11/1/12,231.249
12/1/12,231.221
1/1/13,231.679
2/1/13,232.937
3/1/13,232.282
4/1/13,231.797
5/1/13,231.893
6/1/13,232.445
7/1/13,232.9
8/1/13,233.456
9/1/13,233.544
10/1/13,233.669
11/1/13,234.1
12/1/13,234.719
1/1/14,235.288
2/1/14,235.547
3/1/14,236.028
4/1/14,236.468
5/1/14,236.918
6/1/14,237.231
7/1/14,237.498
8/1/14,237.46
9/1/14,237.477
10/1/14,237.43
11/1/14,236.983
12/1/14,236.252
1/1/15,234.718
2/1/15,235.236
3/1/15,236.005
4/1/15,236.156
5/1/15,236.974
6/1/15,237.684
7/1/15,238.053
8/1/15,238.028
9/1/15,237.506
10/1/15,237.781
11/1/15,238.016
12/1/15,237.817
1/1/16,237.833
2/1/16,237.469
3/1/16,238.038
4/1/16,238.827
5/1/16,239.464
6/1/16,240.167
7/1/16,240.15
8/1/16,240.602
9/1/16,241.051
10/1/16,241.691
11/1/16,242.029
12/1/16,242.772
1/1/17,243.78
2/1/17,243.961
3/1/17,243.749
4/1/17,244.051
5/1/17,243.962
6/1/17,244.182
7/1/17,244.39
8/1/17,245.297
9/1/17,246.418
10/1/17,246.587
11/1/17,247.332
12/1/17,247.901
1/1/18,248.884
2/1/18,249.369
3/1/18,249.498
4/1/18,249.956
5/1/18,250.646
6/1/18,251.134
7/1/18,251.597
8/1/18,251.879
9/1/18,252.01
10/1/18,252.794
11/1/18,252.76
12/1/18,252.723
1/1/19,252.673
2/1/19,253.113
3/1/19,254.148
