date,bribery,insider trading,bankruptcy,isPartial
2018-07-01,1,2,47,False
2018-07-08,1,2,54,False
2018-07-15,2,2,55,False
2018-07-22,1,2,54,False
2018-07-29,1,2,58,False
2018-08-05,1,9,58,False
2018-08-12,2,2,55,False
2018-08-19,2,2,54,False
2018-08-26,2,20,54,False
2018-09-02,2,7,50,False
2018-09-09,2,5,51,False
2018-09-16,2,5,54,False
2018-09-23,2,3,52,False
2018-09-30,2,6,58,False
2018-10-07,2,2,66,False
2018-10-14,2,2,86,False
2018-10-21,2,2,56,False
2018-10-28,2,2,54,False
2018-11-04,2,3,53,False
2018-11-11,2,2,50,False
2018-11-18,1,2,46,False
2018-11-25,2,2,56,False
2018-12-02,2,3,55,False
2018-12-09,2,2,61,False
2018-12-16,2,2,51,False
2018-12-23,1,2,43,False
2018-12-30,1,1,50,False
2019-01-06,2,2,64,False
2019-01-13,2,2,74,False
2019-01-20,2,2,59,False
2019-01-27,2,2,62,False
2019-02-03,2,2,60,False
2019-02-10,2,3,62,False
2019-02-17,2,2,60,False
2019-02-24,2,2,59,False
2019-03-03,2,2,60,False
2019-03-10,33,2,57,False
2019-03-17,7,2,57,False
2019-03-24,4,2,56,False
2019-03-31,3,2,59,False
2019-04-07,4,2,58,False
2019-04-14,3,2,53,False
2019-04-21,3,2,54,False
2019-04-28,3,2,54,False
2019-05-05,2,2,54,False
2019-05-12,2,2,55,False
2019-05-19,2,2,52,False
2019-05-26,2,1,49,False
2019-06-02,2,2,53,False
2019-06-09,2,2,30,True
