date,society,ring,wall street,banks,greed,isPartial
2014-06-15,15,12,23,34,3,False
2014-06-22,14,14,22,18,1,False
2014-06-29,9,15,18,36,1,False
2014-07-06,10,11,19,22,0,False
2014-07-13,39,9,23,15,3,False
2014-07-20,100,11,18,19,3,False
2014-07-27,12,20,18,20,1,False
2014-08-03,11,17,16,27,0,False
2014-08-10,15,13,12,16,0,False
2014-08-17,14,15,13,15,0,False
2014-08-24,16,11,15,17,0,False
2014-08-31,15,12,18,18,0,False
2014-09-07,12,13,17,16,0,False
2014-09-14,19,17,22,14,0,False
2014-09-21,21,10,48,19,1,False
2014-09-28,18,15,21,17,1,False
2014-10-05,15,14,26,24,2,False
2014-10-12,20,12,25,17,0,False
2014-10-19,20,10,15,16,2,False
2014-10-26,23,20,16,13,1,False
2014-11-02,21,12,13,19,1,False
2014-11-09,23,14,14,22,1,False
2014-11-16,22,16,13,14,1,False
2014-11-23,17,12,12,12,3,False
2014-11-30,21,14,15,15,0,False
2014-12-07,25,14,14,19,1,False
2014-12-14,19,15,19,20,0,False
2014-12-21,17,10,10,32,0,False
2014-12-28,12,12,12,20,0,False
2015-01-04,20,15,19,15,1,False
2015-01-11,9,15,24,18,0,False
2015-01-18,13,18,23,51,0,False
2015-01-25,24,15,23,56,2,False
2015-02-01,20,16,12,20,0,False
2015-02-08,17,15,13,18,1,False
2015-02-15,22,14,20,37,0,False
2015-02-22,13,13,21,19,0,False
2015-03-01,15,9,24,15,0,False
2015-03-08,13,16,26,22,0,False
2015-03-15,11,11,14,21,1,False
2015-03-22,15,17,15,18,2,False
2015-03-29,12,14,18,17,1,False
2015-04-05,13,15,21,23,1,False
2015-04-12,15,15,22,10,0,False
2015-04-19,15,24,22,21,1,False
2015-04-26,11,21,20,13,1,False
2015-05-03,12,18,16,16,0,False
2015-05-10,37,21,14,16,0,False
2015-05-17,38,20,14,27,3,False
2015-05-24,19,16,16,20,0,False
2015-05-31,21,16,20,17,2,False
2015-06-07,33,7,25,6,2,False
2015-06-14,18,16,25,30,0,False
2015-06-21,8,7,19,13,0,False
2015-06-28,14,15,18,62,0,False
2015-07-05,6,9,54,25,2,False
2015-07-12,9,26,19,27,0,False
2015-07-19,16,14,12,30,2,False
2015-07-26,18,11,17,11,2,False
2015-08-02,11,18,18,19,0,False
2015-08-09,13,11,16,25,0,False
2015-08-16,5,19,25,16,0,False
2015-08-23,8,14,38,29,3,False
2015-08-30,15,8,22,20,3,False
2015-09-06,25,16,18,18,0,False
2015-09-13,14,11,22,31,0,False
2015-09-20,19,19,20,24,1,False
2015-09-27,14,15,24,30,0,False
2015-10-04,16,16,24,21,1,False
2015-10-11,17,13,20,33,3,False
2015-10-18,26,22,27,18,1,False
2015-10-25,17,19,22,25,1,False
2015-11-01,19,16,12,19,2,False
2015-11-08,12,16,15,23,0,False
2015-11-15,11,21,17,26,1,False
2015-11-22,12,13,14,25,0,False
2015-11-29,19,23,24,14,0,False
2015-12-06,19,17,20,21,1,False
2015-12-13,22,17,24,22,1,False
2015-12-20,24,23,10,19,2,False
2015-12-27,23,17,17,17,0,False
2016-01-03,18,20,23,13,1,False
2016-01-10,19,17,24,19,1,False
2016-01-17,14,15,22,19,0,False
2016-01-24,18,19,21,36,4,False
2016-01-31,24,18,32,31,0,False
2016-02-07,17,20,31,27,0,False
2016-02-14,11,9,18,22,0,False
2016-02-21,13,11,19,16,1,False
2016-02-28,16,11,13,15,0,False
2016-03-06,8,11,17,10,1,False
2016-03-13,10,11,10,8,1,False
2016-03-20,10,12,14,14,1,False
2016-03-27,16,19,19,17,0,False
2016-04-03,14,16,17,28,1,False
2016-04-10,22,28,24,38,0,False
2016-04-17,13,17,22,26,0,False
2016-04-24,20,23,25,15,0,False
2016-05-01,10,16,24,21,1,False
2016-05-08,21,21,22,73,1,False
2016-05-15,19,21,18,31,1,False
2016-05-22,15,17,17,22,0,False
2016-05-29,16,28,21,24,0,False
2016-06-05,8,15,17,25,1,False
2016-06-12,7,19,15,11,2,False
2016-06-19,8,21,17,21,0,False
2016-06-26,8,14,8,15,1,False
2016-07-03,8,12,9,21,1,False
2016-07-10,19,13,17,19,1,False
2016-07-17,8,11,20,22,1,False
2016-07-24,11,12,21,32,0,False
2016-07-31,11,15,21,21,1,False
2016-08-07,9,11,18,15,1,False
2016-08-14,11,7,21,20,0,False
2016-08-21,12,8,14,29,1,False
2016-08-28,7,18,16,19,1,False
2016-09-04,15,15,18,24,3,False
2016-09-11,14,11,19,19,0,False
2016-09-18,12,14,15,16,2,False
2016-09-25,14,12,21,17,2,False
2016-10-02,16,13,17,23,0,False
2016-10-09,11,16,26,27,0,False
2016-10-16,17,18,25,39,0,False
2016-10-23,13,20,14,20,0,False
2016-10-30,12,18,24,25,1,False
2016-11-06,12,14,31,25,1,False
2016-11-13,19,16,22,13,1,False
2016-11-20,11,20,24,19,2,False
2016-11-27,18,19,23,17,2,False
2016-12-04,22,18,21,22,0,False
2016-12-11,19,23,16,18,0,False
2016-12-18,18,18,13,18,0,False
2016-12-25,18,23,19,29,0,False
2017-01-01,13,14,18,25,2,False
2017-01-08,15,13,13,23,0,False
2017-01-15,15,17,20,20,1,False
2017-01-22,20,15,19,20,1,False
2017-01-29,12,23,18,13,1,False
2017-02-05,22,23,20,16,0,False
2017-02-12,18,15,31,17,0,False
2017-02-19,19,21,29,16,0,False
2017-02-26,24,20,25,19,1,False
2017-03-05,17,17,32,25,3,False
2017-03-12,15,24,21,26,3,False
2017-03-19,21,32,33,21,2,False
2017-03-26,15,19,26,27,0,False
2017-04-02,22,22,31,21,2,False
2017-04-09,19,23,23,40,2,False
2017-04-16,11,16,21,18,2,False
2017-04-23,19,22,24,22,2,False
2017-04-30,20,16,25,24,2,False
2017-05-07,18,26,26,19,0,False
2017-05-14,11,15,31,14,2,False
2017-05-21,13,18,18,18,2,False
2017-05-28,19,20,19,27,2,False
2017-06-04,21,21,14,29,2,False
2017-06-11,20,28,17,37,2,False
2017-06-18,14,18,18,30,0,False
2017-06-25,16,19,24,50,4,False
2017-07-02,15,20,22,27,0,False
2017-07-09,17,17,23,25,0,False
2017-07-16,10,22,20,26,0,False
2017-07-23,18,31,30,33,2,False
2017-07-30,13,28,11,39,0,False
2017-08-06,16,18,20,30,2,False
2017-08-13,15,28,18,38,4,False
2017-08-20,12,29,21,27,0,False
2017-08-27,15,20,23,27,4,False
2017-09-03,16,22,17,23,0,False
2017-09-10,23,30,20,30,4,False
2017-09-17,14,22,36,26,2,False
2017-09-24,19,27,24,30,0,False
2017-10-01,16,21,24,24,0,False
2017-10-08,18,21,29,25,2,False
2017-10-15,13,32,23,19,0,False
2017-10-22,20,30,27,15,4,False
2017-10-29,22,27,27,24,2,False
2017-11-05,13,24,21,22,0,False
2017-11-12,29,25,22,20,0,False
2017-11-19,13,36,19,17,2,False
2017-11-26,25,47,18,25,2,False
2017-12-03,16,29,21,21,2,False
2017-12-10,16,22,25,34,2,False
2017-12-17,15,27,25,40,2,False
2017-12-24,12,36,11,12,0,False
2017-12-31,10,43,24,23,0,False
2018-01-07,13,27,36,31,2,False
2018-01-14,13,19,27,27,0,False
2018-01-21,27,34,23,20,0,False
2018-01-28,22,19,29,34,0,False
2018-02-04,6,38,26,22,3,False
2018-02-11,16,32,18,31,2,False
2018-02-18,20,26,29,30,0,False
2018-02-25,14,40,21,25,2,False
2018-03-04,23,34,21,34,3,False
2018-03-11,19,30,22,23,0,False
2018-03-18,16,26,26,31,4,False
2018-03-25,20,31,24,30,5,False
2018-04-01,14,24,21,15,0,False
2018-04-08,17,22,23,23,0,False
2018-04-15,23,18,18,28,2,False
2018-04-22,16,27,29,24,2,False
2018-04-29,19,28,20,22,0,False
2018-05-06,19,34,23,36,2,False
2018-05-13,14,40,20,24,0,False
2018-05-20,16,26,25,35,0,False
2018-05-27,15,36,17,29,3,False
2018-06-03,18,35,18,35,0,False
2018-06-10,17,32,20,33,0,False
2018-06-17,12,27,20,32,0,False
2018-06-24,13,30,20,20,0,False
2018-07-01,11,26,12,19,0,False
2018-07-08,16,41,12,18,0,False
2018-07-15,11,28,29,44,0,False
2018-07-22,8,45,30,39,0,False
2018-07-29,11,38,23,31,3,False
2018-08-05,11,28,23,24,0,False
2018-08-12,8,25,16,40,0,False
2018-08-19,16,35,22,47,4,False
2018-08-26,25,26,20,27,3,False
2018-09-02,15,34,27,39,3,False
2018-09-09,24,23,17,37,2,False
2018-09-16,23,35,27,33,2,False
2018-09-23,27,21,18,32,2,False
2018-09-30,19,35,33,26,0,False
2018-10-07,23,29,24,21,2,False
2018-10-14,19,26,19,18,5,False
2018-10-21,29,21,24,26,5,False
2018-10-28,19,29,19,20,3,False
2018-11-04,15,26,18,27,2,False
2018-11-11,22,33,19,29,3,False
2018-11-18,18,27,23,32,0,False
2018-11-25,14,24,23,25,3,False
2018-12-02,20,38,41,52,0,False
2018-12-09,12,36,29,22,3,False
2018-12-16,23,35,17,27,4,False
2018-12-23,16,42,9,29,0,False
2018-12-30,16,31,19,25,3,False
2019-01-06,14,37,26,31,3,False
2019-01-13,20,33,19,35,3,False
2019-01-20,19,26,35,43,3,False
2019-01-27,18,23,30,33,0,False
2019-02-03,19,31,15,34,2,False
2019-02-10,19,25,23,25,0,False
2019-02-17,14,37,25,43,5,False
2019-02-24,17,23,22,21,2,False
2019-03-03,14,22,22,28,3,False
2019-03-10,25,42,21,24,3,False
2019-03-17,17,34,19,34,0,False
2019-03-24,15,25,19,22,0,False
2019-03-31,10,36,25,19,5,False
2019-04-07,25,36,25,48,0,False
2019-04-14,11,32,18,26,4,False
2019-04-21,17,20,17,36,6,False
2019-04-28,18,22,21,36,0,False
2019-05-05,18,31,10,38,3,False
2019-05-12,19,27,10,20,3,False
2019-05-19,20,36,22,26,0,False
2019-05-26,26,32,20,26,0,False
2019-06-02,24,35,24,31,0,False
2019-06-09,49,73,0,0,0,True
