date,money,religion,cancer,isPartial
2018-07-08,19,3,14,False
2018-07-15,19,2,16,False
2018-07-22,15,2,18,False
2018-07-29,16,3,12,False
2018-08-05,16,1,15,False
2018-08-12,17,2,15,False
2018-08-19,16,2,15,False
2018-08-26,14,3,17,False
2018-09-02,15,3,15,False
2018-09-09,17,2,14,False
2018-09-16,16,4,11,False
2018-09-23,16,3,13,False
2018-09-30,15,3,18,False
2018-10-07,15,4,18,False
2018-10-14,13,5,17,False
2018-10-21,19,2,16,False
2018-10-28,15,2,14,False
2018-11-04,17,3,12,False
2018-11-11,16,3,16,False
2018-11-18,13,5,14,False
2018-11-25,20,4,17,False
2018-12-02,16,4,15,False
2018-12-09,14,4,12,False
2018-12-16,22,3,17,False
2018-12-23,19,2,17,False
2018-12-30,16,2,14,False
2019-01-06,16,4,14,False
2019-01-13,17,2,14,False
2019-01-20,19,2,11,False
2019-01-27,15,3,21,False
2019-02-03,15,4,15,False
2019-02-10,16,3,14,False
2019-02-17,20,3,13,False
2019-02-24,16,4,11,False
2019-03-03,15,2,20,False
2019-03-10,17,2,18,False
2019-03-17,15,3,20,False
2019-03-24,17,4,16,False
2019-03-31,17,2,14,False
2019-04-07,22,4,14,False
2019-04-14,19,4,14,False
2019-04-21,16,3,18,False
2019-04-28,15,2,17,False
2019-05-05,17,3,11,False
2019-05-12,22,3,13,False
2019-05-19,20,2,14,False
2019-05-26,15,3,13,False
2019-06-02,15,2,14,False
2019-06-09,34,0,10,True
