date,bribery,insider trading,bankruptcy,isPartial
2018-07-01,0,0,28,False
2018-07-08,8,4,28,False
2018-07-15,8,4,34,False
2018-07-22,4,4,30,False
2018-07-29,0,4,41,False
2018-08-05,6,4,31,False
2018-08-12,0,8,42,False
2018-08-19,4,8,23,False
2018-08-26,4,8,15,False
2018-09-02,0,4,13,False
2018-09-09,0,10,25,False
2018-09-16,3,5,21,False
2018-09-23,0,5,32,False
2018-09-30,5,4,16,False
2018-10-07,11,4,46,False
2018-10-14,0,0,56,False
2018-10-21,4,0,25,False
2018-10-28,6,0,31,False
2018-11-04,3,9,30,False
2018-11-11,4,7,31,False
2018-11-18,0,0,22,False
2018-11-25,4,4,31,False
2018-12-02,5,4,31,False
2018-12-09,8,4,44,False
2018-12-16,0,0,44,False
2018-12-23,5,5,23,False
2018-12-30,4,0,39,False
2019-01-06,7,4,35,False
2019-01-13,6,0,100,False
2019-01-20,4,7,52,False
2019-01-27,4,9,46,False
2019-02-03,7,4,50,False
2019-02-10,0,6,50,False
2019-02-17,0,4,31,False
2019-02-24,4,0,37,False
2019-03-03,11,0,40,False
2019-03-10,31,7,40,False
2019-03-17,15,4,33,False
2019-03-24,10,4,24,False
2019-03-31,16,4,52,False
2019-04-07,8,0,51,False
2019-04-14,10,0,46,False
2019-04-21,8,0,28,False
2019-04-28,8,8,46,False
2019-05-05,6,4,55,False
2019-05-12,8,4,41,False
2019-05-19,4,0,29,False
2019-05-26,0,4,42,False
2019-06-02,6,0,36,False
2019-06-09,0,35,0,True
