date,derivatives,headlines,profit,isPartial
2018-07-08,4,24,73,False
2018-07-15,4,27,72,False
2018-07-22,4,24,75,False
2018-07-29,4,23,73,False
2018-08-05,4,26,70,False
2018-08-12,4,28,69,False
2018-08-19,6,30,70,False
2018-08-26,7,29,73,False
2018-09-02,8,30,73,False
2018-09-09,10,29,79,False
2018-09-16,13,29,81,False
2018-09-23,13,32,79,False
2018-09-30,14,32,80,False
2018-10-07,13,30,81,False
2018-10-14,13,28,82,False
2018-10-21,12,29,83,False
2018-10-28,12,31,82,False
2018-11-04,11,33,83,False
2018-11-11,10,29,78,False
2018-11-18,6,26,62,False
2018-11-25,10,29,83,False
2018-12-02,10,28,87,False
2018-12-09,11,29,83,False
2018-12-16,7,29,70,False
2018-12-23,2,26,50,False
2018-12-30,3,28,61,False
2019-01-06,6,33,74,False
2019-01-13,7,31,80,False
2019-01-20,7,33,82,False
2019-01-27,8,29,84,False
2019-02-03,9,27,90,False
2019-02-10,10,28,85,False
2019-02-17,10,28,89,False
2019-02-24,9,31,87,False
2019-03-03,9,27,84,False
2019-03-10,8,29,80,False
2019-03-17,8,32,80,False
2019-03-24,7,28,82,False
2019-03-31,7,27,86,False
2019-04-07,7,25,88,False
2019-04-14,8,27,78,False
2019-04-21,8,27,83,False
2019-04-28,9,26,84,False
2019-05-05,8,26,80,False
2019-05-12,7,24,74,False
2019-05-19,6,24,68,False
2019-05-26,5,25,61,False
2019-06-02,5,25,64,False
2019-06-09,3,24,49,True
