date,derivatives,headlines,profit,isPartial
2018-07-08,9,26,21,False
2018-07-15,0,30,17,False
2018-07-22,9,60,39,False
2018-07-29,9,53,35,False
2018-08-05,18,39,48,False
2018-08-12,0,36,72,False
2018-08-19,9,49,36,False
2018-08-26,0,17,35,False
2018-09-02,0,50,50,False
2018-09-09,0,49,19,False
2018-09-16,8,52,16,False
2018-09-23,8,48,12,False
2018-09-30,0,45,49,False
2018-10-07,0,32,24,False
2018-10-14,0,38,34,False
2018-10-21,0,74,49,False
2018-10-28,8,59,46,False
2018-11-04,7,53,32,False
2018-11-11,0,54,25,False
2018-11-18,0,84,30,False
2018-11-25,0,50,33,False
2018-12-02,0,54,25,False
2018-12-09,9,65,35,False
2018-12-16,0,52,38,False
2018-12-23,11,74,45,False
2018-12-30,10,64,59,False
2019-01-06,0,80,25,False
2019-01-13,0,67,54,False
2019-01-20,0,54,75,False
2019-01-27,0,75,54,False
2019-02-03,8,57,53,False
2019-02-10,8,50,38,False
2019-02-17,0,80,50,False
2019-02-24,0,52,48,False
2019-03-03,0,43,30,False
2019-03-10,8,54,41,False
2019-03-17,0,100,26,False
2019-03-24,0,54,22,False
2019-03-31,9,54,32,False
2019-04-07,0,32,28,False
2019-04-14,0,59,27,False
2019-04-21,0,64,37,False
2019-04-28,0,41,14,False
2019-05-05,9,93,9,False
2019-05-12,19,75,28,False
2019-05-19,9,75,47,False
2019-05-26,0,34,29,False
2019-06-02,0,50,36,False
2019-06-09,0,80,0,True
