date,economics,credit,markets,return,unemployment,isPartial
2017-08-27,7,57,12,32,11,False
2017-09-03,4,55,14,38,11,False
2017-09-10,10,100,8,35,5,False
2017-09-17,6,71,13,31,14,False
2017-09-24,12,78,12,20,5,False
2017-10-01,7,69,8,40,11,False
2017-10-08,9,63,13,43,7,False
2017-10-15,3,65,10,44,13,False
2017-10-22,7,63,13,46,8,False
2017-10-29,5,73,10,38,12,False
2017-11-05,3,82,10,32,12,False
2017-11-12,6,84,17,54,8,False
2017-11-19,3,63,9,35,7,False
2017-11-26,8,72,21,48,10,False
2017-12-03,7,72,16,36,9,False
2017-12-10,8,78,8,62,11,False
2017-12-17,7,73,14,48,9,False
2017-12-24,4,73,10,50,14,False
2017-12-31,5,68,17,35,12,False
2018-01-07,11,71,7,52,15,False
2018-01-14,8,64,12,36,19,False
2018-01-21,17,72,11,48,20,False
2018-01-28,11,72,15,48,13,False
2018-02-04,9,61,25,49,9,False
2018-02-11,8,67,18,35,13,False
2018-02-18,4,76,12,41,7,False
2018-02-25,11,54,8,33,13,False
2018-03-04,9,52,24,35,19,False
2018-03-11,4,66,12,39,11,False
2018-03-18,2,72,13,41,11,False
2018-03-25,2,69,19,33,8,False
2018-04-01,10,58,11,37,9,False
2018-04-08,8,64,16,36,9,False
2018-04-15,6,60,10,30,15,False
2018-04-22,4,73,5,23,12,False
2018-04-29,7,61,6,25,8,False
2018-05-06,5,74,9,45,11,False
2018-05-13,7,74,9,32,7,False
2018-05-20,12,65,17,26,11,False
2018-05-27,5,57,10,27,18,False
2018-06-03,6,58,20,20,15,False
2018-06-10,2,70,11,37,6,False
2018-06-17,2,53,10,20,13,False
2018-06-24,4,80,15,26,15,False
2018-07-01,3,70,5,25,8,False
2018-07-08,7,75,20,20,10,False
2018-07-15,4,57,14,19,9,False
2018-07-22,4,65,15,26,14,False
2018-07-29,5,63,4,29,11,False
2018-08-05,3,51,13,30,9,False
2018-08-12,8,77,18,31,12,False
2018-08-19,9,89,12,33,17,False
2018-08-26,5,58,14,28,10,False
2018-09-02,5,60,16,32,10,False
2018-09-09,15,47,9,30,8,False
2018-09-16,16,62,13,39,9,False
2018-09-23,9,71,16,36,16,False
2018-09-30,12,78,14,38,19,False
2018-10-07,7,62,20,39,18,False
2018-10-14,13,66,13,38,12,False
2018-10-21,9,56,8,25,8,False
2018-10-28,7,55,17,38,7,False
2018-11-04,5,59,12,21,8,False
2018-11-11,4,62,16,40,17,False
2018-11-18,4,40,11,33,11,False
2018-11-25,14,78,20,46,8,False
2018-12-02,8,85,18,33,19,False
2018-12-09,8,58,13,30,9,False
2018-12-16,8,76,21,47,15,False
2018-12-23,5,56,21,48,10,False
2018-12-30,6,52,16,37,16,False
2019-01-06,9,69,9,52,11,False
2019-01-13,7,69,11,42,15,False
2019-01-20,8,61,15,45,10,False
2019-01-27,8,53,10,35,11,False
2019-02-03,8,65,15,43,6,False
2019-02-10,7,47,6,42,5,False
2019-02-17,12,70,12,48,8,False
2019-02-24,7,53,16,43,8,False
2019-03-03,2,71,9,31,10,False
2019-03-10,8,53,13,30,7,False
2019-03-17,8,86,10,30,8,False
2019-03-24,8,74,19,43,8,False
2019-03-31,7,72,7,41,18,False
2019-04-07,8,64,16,47,13,False
2019-04-14,21,63,8,42,9,False
2019-04-21,7,73,11,33,15,False
2019-04-28,9,62,13,33,11,False
2019-05-05,8,65,11,34,12,False
2019-05-12,8,79,12,27,8,False
2019-05-19,3,65,14,30,4,False
2019-05-26,3,65,12,29,8,False
2019-06-02,7,71,11,29,14,False
2019-06-09,0,92,23,46,0,True
